epoch,train_loss,train_rmse,val_rmse
1,8298.746891533412,91.09133205046618,81.72969368981707
2,3998.399804006253,63.13686365494162,42.69739273453242
3,855.3262339158956,28.142947360886353,24.258669954205175
4,575.9456767858767,22.629785753766868,22.89991531786143
5,522.2046955912363,21.498452886155274,23.26486393849609
6,487.7825081678766,20.782341202209924,21.847200578882113
7,465.1642252487114,20.276386776753352,21.47802561425483
8,448.4662503228681,19.90095797932169,21.973263650450782
9,435.27311188131785,19.613788195152726,22.025860882425487
10,424.8402148360026,19.382722443280134,21.485550241571534
11,413.954112825903,19.1438589356631,21.374239803371687
12,407.14117213428653,18.9664599756231,21.17353313098695
13,395.45425197842155,18.704921515062054,21.135828498342907
14,394.6365757188281,18.676899610498158,20.515858979892304
15,381.9583705562978,18.372766012848828,21.05731863773221
16,379.53159903133985,18.305012388506707,20.957265401746582
17,372.4703980710268,18.155218880209098,20.75542234473348
18,361.748219890154,17.884961881072822,20.720958958647937
19,361.16982623401464,17.866831753045858,20.647612861549042
20,353.04265644460753,17.668469926417792,20.32497704930354
21,343.8894176142798,17.425422104152684,22.05028527676467
22,341.0220604219614,17.36333681689108,20.510248277525744
23,340.25774003793265,17.335572033502146,21.31720341733891
24,329.1399712587123,17.05432056918329,21.07741438050884
25,323.87824238273305,16.91118830815393,20.8243658083555
26,318.7305307609923,16.790629053565116,20.751385804121657
27,314.7816161167009,16.683897302304448,20.23610860915276
28,308.8148809354161,16.50721806593207,20.73272657681888
29,303.35131158640894,16.362217024191253,20.284537244533745
30,299.70556349986623,16.2790092689119,20.246939954942377
31,297.06838595247206,16.202545330464243,20.400261502444724
32,294.288254844376,16.12421901479045,20.446878102305202
33,290.9258549803524,16.030292961931437,20.465675532835927
34,287.0558432478897,15.919832549940384,20.55174521647788
35,282.683965270561,15.80042989220886,20.316109638548674
36,280.42133009227666,15.739303326016623,20.199222745493007
37,278.6561075869216,15.687482916068635,20.557912725785116
38,275.030884949531,15.589160873975917,20.450102847419835
39,272.4752227799938,15.52679592463808,20.365208270161922
40,270.1097622362674,15.453535364551433,20.302350849987793
41,266.96002236770937,15.366927536406068,20.774748012645173
42,265.34627086103166,15.313949922236226,20.560823547512427
43,262.4858109458896,15.229513702949523,20.56688620435267
44,260.43955938317475,15.165993755740814,20.4444003208778
45,256.6004088390332,15.060868871931504,20.656541855820127
46,255.68159399734824,15.035976523275046,20.69863863846144
47,254.15608305220331,14.981565716848655,20.575553443352796
48,254.43986899795377,14.995646024498184,20.596108374433783
49,253.2695901168908,14.950231810890994,20.576928909142836
50,251.23603541972847,14.904954141803696,20.641536769345
51,250.3283446312834,14.873785355759427,20.79842251359721
