epoch,total_loss,rul_loss,dom_loss,val_rmse,lam
1,8385.88073007474,8385.861757443115,0.6879037224992792,86.71835741623332,0.0
2,6483.997836971779,6483.978423047798,0.6928917566277645,71.25837167965946,0.0
3,3829.7302868431098,3829.710674382203,0.6930902836114239,46.786145820471376,0.0
4,1136.11347877785,1136.0943828455909,0.6931524187509613,17.512278916822247,0.0
5,273.78948040805153,273.7737401930115,0.693149613556287,14.142936994546599,0.0
6,218.06100126947354,218.04814417004116,0.6931473301225426,14.055465175757849,0.0
7,206.86371724013742,206.85201881498872,0.6931471820193261,13.977051501662315,0.0
8,203.29356833551887,203.28198262292068,0.6931471820193261,13.780197175820621,0.0
9,199.98325047654558,199.97157409235095,0.6931471820193261,13.929541377643082,0.0
10,197.19537401564577,197.18346382399636,0.6931471820193261,14.005664563679373,0.0
11,192.0554406709423,191.9747451592243,0.6931471820193261,13.857778854344128,0.0996679946249559
12,191.2265324109666,191.07704383411212,0.6931470860957724,14.152777705990367,0.197375320224904
13,185.84627320490267,185.6498168026659,0.6337821070728948,13.446376663680839,0.2913126124515908
14,188.866073958064,188.6778471736442,0.46229397650400045,13.339518415232277,0.379948962255225
15,178.79626300544228,178.63933381401526,0.3161938236650282,13.32658860018925,0.4621171572600098
16,174.2653060877013,174.10719213222686,0.27376326602119644,14.32075074908135,0.5370495669980351
17,170.2264110385423,170.08083990627617,0.22414912312306975,13.795463231281397,0.6043677771171636
18,164.32253036174367,164.18335057035407,0.19463057932607578,12.947102209825506,0.6640367702678489
19,159.48024508813688,159.34130649479474,0.18002502323183325,12.655627583661003,0.7162978701990246
20,152.51786647114253,152.38124621428122,0.16628231074370392,12.48244304224636,0.7615941559557646
21,149.32843359451957,149.1841804142464,0.16698744840937585,12.500604855151021,0.8004990217606296
22,146.81409520286758,146.6664845789315,0.1645345429302295,12.747440469436768,0.8336546070121553
23,144.43253937489033,144.28843576249406,0.15539990177626117,12.434715002641745,0.8617231593133066
24,141.38803302016382,141.24573570305574,0.14959413628253154,12.832205043938918,0.8853516482022625
25,138.07420600812955,137.93425582224407,0.14449475881948162,12.602299589711727,0.9051482536448667
26,136.2855511234124,136.13900680554016,0.14889573971994097,12.659020740446199,0.9216685544064713
27,136.0436485125795,135.88632154772844,0.15778699889955228,12.947466584333561,0.9354090706030991
28,133.92123398993502,133.74829867195388,0.17170738365680238,12.240923086631735,0.9468060128462681
29,130.9941451033163,130.81742010647147,0.17461225466384392,12.47189669108823,0.9562374581277389
30,130.223358413059,130.02830411317314,0.19274903911882915,12.940768778473455,0.9640275800758169
31,129.41761969047047,129.19144198274125,0.22362365327358621,12.670392943965528,0.9704519366134539
32,127.79956661455832,127.52086441340646,0.2761250980075088,12.839754724184576,0.9757431300314514
33,127.46249087262285,127.10299869714711,0.3569801052261094,13.028920200958716,0.9800963962661915
34,125.50118161393114,125.04246043127856,0.45655320264675,13.182644546956032,0.9836748576936802
35,124.11842396452823,123.5547422738823,0.5614322123985952,12.668232688169448,0.9866142981514305
36,123.29070732435342,122.69490378906634,0.592423244664949,12.967633466765067,0.989027402201099
37,121.27170824873062,120.68256257089506,0.5848756989106313,12.700657031875814,0.9910074536781177
38,121.55654194452332,120.98825902291036,0.562579762480971,12.764786990905751,0.9926315202011282
39,119.96382193394774,119.4054536090487,0.5516434134997374,12.554537957268765,0.9939631673505833
40,119.13032864906546,118.5802775017007,0.5425817477768852,12.756835626995821,0.9950547536867307
41,118.07955853281103,117.54332491298281,0.5283729674235585,12.895982604951977,0.9959493592219002
42,117.58476406112442,117.05198653609665,0.5244214321159771,13.020708568062274,0.9966823978396511
43,116.50899721979813,115.97521456767294,0.5248612659028236,12.822797577558044,0.9972829600991422
