epoch,total_loss,rul_loss,dom_loss,val_rmse,lam
1,5791.64794660227,5791.63152212926,0.6827786752781217,46.5588441493814,0.0
2,773.5184754976314,773.5057434409091,0.6934601112009504,16.77489175807821,0.0
3,354.35877918913764,354.35178186679656,0.6931960444491712,14.10542483122332,0.0
4,261.0345124555968,261.0269543062635,0.6931491246591692,14.488812439766736,0.0
5,244.4812647186592,244.47339524289396,0.6931471820193261,14.154049873380067,0.0
6,236.90721426889405,236.89835165734738,0.6931471820193261,14.087703937864669,0.0
7,231.5887787081671,231.57957925903224,0.6931471820193261,15.254732054778641,0.0
8,227.63165251891945,227.6219286979513,0.6931471820193261,14.29496211825303,0.0
9,220.87454832252882,220.86489694774198,0.6931471820193261,14.044349763596474,0.0
10,217.88444043026468,217.87376278227197,0.6931471820193261,14.108670779576096,0.0
11,213.75056349637848,213.67136572005901,0.6931471820193261,13.731547319330003,0.0996679946249559
12,214.0587986357368,213.911037503867,0.6886708226478222,14.257265729659498,0.197375320224904
13,209.33657865387516,209.21289633508175,0.3872277696011478,14.132865961414565,0.2913126124515908
14,210.70318505590032,210.61825280348083,0.1920138817194224,13.430915659472335,0.379948962255225
15,209.7586281629582,209.67358772343965,0.15748132462244133,13.681070465109256,0.4621171572600098
16,206.48691364742245,206.40432986669038,0.1310171890719093,13.695979009720045,0.5370495669980351
17,205.23516747200367,205.15409675231405,0.11531209561137161,13.486694479243484,0.6043677771171636
18,203.80154420676806,203.7110742543418,0.11727487747269037,14.077216199181315,0.6640367702678489
19,201.40202411865042,201.3139774052565,0.10608800478391144,13.336746265935249,0.7162978701990246
20,199.73974822493028,199.65738553142623,0.09383032382732305,13.12851505923509,0.7615941559557646
21,200.44572083481472,200.350425742099,0.10361786965477457,13.476630208336857,0.8004990217606296
22,198.25229889372937,198.16254683017354,0.09369316840636814,13.6368108527806,0.8336546070121553
23,197.4166392196042,197.32037396802968,0.0972519208738614,13.250614843072482,0.8617231593133066
24,196.35198903040964,196.2567965426494,0.09383931589605679,13.409985401549259,0.8853516482022625
25,195.08369427331513,194.9829074055797,0.09732814761857708,13.40659753946142,0.9051482536448667
26,196.07813436641948,195.97600535820374,0.09681620887196656,13.119428081611261,0.9216685544064713
27,194.21925476939967,194.11743735070675,0.09523821271738732,13.592046804055405,0.9354090706030991
28,195.3746992366421,195.2713844932995,0.09533943907025294,13.477046472960456,0.9468060128462681
29,191.41091580871148,191.31071159056174,0.09156102779251651,13.16178355732246,0.9562374581277389
30,191.5703146388758,191.46700624338186,0.09378942045971012,13.581143914332191,0.9640275800758169
31,192.02241956201289,191.915199502234,0.09668676074608937,13.952061379633886,0.9704519366134539
32,191.8697024466392,191.76436633772133,0.09442921508499917,14.241214880276612,0.9757431300314514
33,190.82288957456043,190.71609290108708,0.09515693334494171,13.411570471257662,0.9800963962661915
34,189.07857911214384,188.9731494987133,0.09363285258541527,13.632610412749331,0.9836748576936802
35,188.2527731065923,188.14710834331828,0.09378701978917194,13.385309261688143,0.9866142981514305
36,186.85414589499376,186.7530108142369,0.08953146176957258,13.481284085887204,0.989027402201099
37,187.0831108517718,186.97996378821213,0.09104561777660657,13.210098742334377,0.9910074536781177
38,185.15671984613178,185.05287241497595,0.09150613463070563,13.555087572213314,0.9926315202011282
39,185.83975278356866,185.7377737929372,0.08963603799600503,13.092594218168953,0.9939631673505833
40,185.5751524450424,185.46865376742267,0.09364284314303252,13.251577274767518,0.9950547536867307
41,184.20656985500085,184.09880284470964,0.09450693230585755,13.213652263949145,0.9959493592219002
42,184.07740452783705,183.9711014859295,0.0930141802412774,13.304620697474634,0.9966823978396511
43,182.98343950420406,182.8763860487581,0.09377863958818505,13.484853837285506,0.9972829600991422
44,182.31877901454533,182.216322027737,0.0896066281976805,13.184818744051746,0.9977749279342796
45,183.99904616047021,183.89408604110105,0.09174604773357029,13.255516858817995,0.9981778976111988
46,181.60589704653333,181.50370060529175,0.08928000741887036,13.183904802159397,0.9985079423323266
47,182.41604816073033,182.31189377035466,0.09089405093139509,13.039120809535923,0.9987782412811312
48,181.92624673902003,181.82153016627728,0.09139014402391217,13.362032381887147,0.998999597785841
49,181.01235294904174,180.90792712248432,0.09116489611102241,13.25336241802876,0.9991808656700278
50,180.78730946401802,180.6829462920445,0.09099328543653255,13.322848220782753,0.9993292997390673
51,181.0096788935139,180.90562671081207,0.09079689262864907,13.362584928931286,0.9994508436877971
52,180.1285284327634,180.02567686737757,0.08975446131001127,13.256959327454629,0.9995503664595333
53,180.75012263689575,180.6479321871037,0.08916695924163147,13.25994361756518,0.9996318561900732
54,180.8836592350953,180.7817215362621,0.08890962130822376,13.176759751480509,0.9996985792838806
55,180.15139704566758,180.04985909055404,0.08855909738886347,13.28075991075741,0.9997532108480274
56,180.26110417744042,180.15960352158905,0.08856137978762882,13.215124173916092,0.9997979416121845
57,178.2010160049667,178.10028785362874,0.08785992566810244,13.21271069459641,0.9998345655542968
58,180.39488099106472,180.2940796557367,0.08792077601120357,13.181029988392906,0.9998645517007607
59,177.77101468133588,177.66994274863868,0.0881782001916868,13.200628266045655,0.9998891029505543
60,179.39759751147787,179.29662088260395,0.08807611131827787,13.209855667435896,0.9999092042625952
