epoch,total_loss,rul_loss,dom_loss,val_rmse,lam
1,8052.91032752167,8052.888680139997,0.6883478626310591,83.13425413344706,0.0
2,5627.465013005442,5627.44423215561,0.6926865071720547,63.36957611433344,0.0
3,2694.9485910219355,2694.928250991184,0.6931132055681648,33.41797795064006,0.0
4,574.8382942078262,574.8186932344189,0.6931620783989969,14.267656689332162,0.0
5,233.45207005469982,233.43540005538856,0.6931489829870544,15.363738020006814,0.0
6,216.344846146195,216.32847811074404,0.6931471545683107,15.144764843900287,0.0
7,206.65079731874337,206.63649284248564,0.6931471820193261,13.57508500312425,0.0
8,203.02618363328577,203.012779111028,0.6931471820193261,13.732705716919032,0.0
9,201.7894068335134,201.77599117438373,0.6931471820193261,13.776669895785941,0.0
10,194.36403290107552,194.35151174703105,0.6931471820193261,13.838850757753319,0.0
11,189.4188804045693,189.3370837936221,0.6931471820193261,13.806304535622859,0.0996679946249559
12,185.49743087876774,185.34671530480833,0.6931471742524041,14.208670616488067,0.197375320224904
13,180.08225099628228,179.87151702664423,0.6829275825551592,13.673951270276824,0.2913126124515908
14,181.70937074341109,181.48770263864265,0.5509292663346134,13.35930108541431,0.379948962255225
15,172.33845494047125,172.14322936097875,0.39575177291888153,13.757122784674266,0.4621171572600098
16,170.6101733667781,170.44303244732797,0.28890092296709313,14.373317430577982,0.5370495669980351
17,166.70726696257896,166.55787665905964,0.22857837333887746,13.52094081333302,0.6043677771171636
18,161.93785016672362,161.7977626998336,0.19599935033360835,12.65015773514421,0.6640367702678489
19,160.84126123066113,160.6817032093622,0.2075433888982092,13.106456806668866,0.7162978701990246
20,151.83542678099528,151.67377566169998,0.19928871081935035,12.672935748939219,0.7615941559557646
21,150.83546252431788,150.6524738140422,0.2158218175102351,12.822260580212971,0.8004990217606296
22,148.52595639252118,148.32448531298866,0.2288686632978531,12.745719363390515,0.8336546070121553
23,144.03659366833122,143.79157886117343,0.2717267989652001,12.717211891468606,0.8617231593133066
24,143.27287859592784,142.98886304682497,0.3090535226931621,12.501371409843195,0.8853516482022625
25,137.92652601886866,137.56957165055994,0.38355650379678413,12.877784837559089,0.9051482536448667
26,135.6547747042801,135.2240502333284,0.457050295304463,12.732829730907875,0.9216685544064713
27,136.12614976574812,135.66635220887625,0.48099660354115253,12.769779457255922,0.9354090706030991
28,133.9630556656978,133.46475124157723,0.5154679654037229,13.439620475198026,0.9468060128462681
29,132.17155997682877,131.65158068741843,0.5328644472938339,12.735256623897069,0.9562374581277389
30,131.15238341347265,130.6148705136034,0.547250827196736,13.176845881164972,0.9640275800758169
31,127.9102777121253,127.36262373302752,0.5542445290135624,12.944072781321552,0.9704519366134539
32,126.86329882105473,126.3085158190716,0.5584901959281723,12.629207571524324,0.9757431300314514
33,125.55304483015392,124.99021545241817,0.5643155420981965,13.012517414852235,0.9800963962661915
34,123.46971151341407,122.90103131473863,0.568218997781722,12.895257666318843,0.9836748576936802
35,123.33036148059264,122.75895596743945,0.5688468540212693,12.689134587197174,0.9866142981514305
36,120.62972759177687,120.06003741854283,0.5661036163188041,12.874083938658137,0.989027402201099
37,118.61291515401444,118.04256939394254,0.5657789786731849,12.837170678565395,0.9910074536781177
38,117.35167892155448,116.78119614573329,0.5647972630533861,12.88526067873338,0.9926315202011282
39,117.44127278237008,116.87334314008132,0.5613128732695554,12.602928115071382,0.9939631673505833
