epoch,train_loss,train_rmse,val_rmse
1,8275.849181198886,90.96018635771055,78.75041649952081
2,3278.6467871771706,57.04935442463265,31.174332311069115
3,553.8371879256588,22.370499532425978,20.599397972896785
4,404.65465448475345,18.92169447586855,20.31635858811566
5,370.66030636332187,18.10547323276833,20.053857431259015
6,352.69586434090536,17.66315146182569,19.420056248087093
7,340.4912646987409,17.36392256849302,19.671448777629543
8,330.4929842557247,17.083115748887312,18.919188342828786
9,322.790481257513,16.891308046547877,19.69304850013027
10,315.7433442056191,16.713716823918496,19.211450598864328
11,311.86760816461873,16.61282759872091,20.08320899565589
12,306.4392654443225,16.45810134472009,19.881594724670478
13,300.6649920547468,16.28851601184341,19.301704344864845
14,298.05848004548574,16.24112700943853,18.886639797992785
15,293.5473887501043,16.09478186261287,19.21740486362047
16,289.8802443511115,16.00313337184523,19.13144757669245
17,287.2091842362073,15.925052999944384,18.780838307069896
18,284.7852411757185,15.864420026152347,19.19416182080521
19,283.93046844591885,15.842703602039716,18.986862899965637
20,281.0704273958463,15.756870972743135,19.62148536246331
21,278.66392815094315,15.678788767220595,19.47547543454584
22,278.32707839842504,15.67280910405019,19.073697581520705
23,272.5079962311067,15.49818100476315,18.987375827779697
24,269.43284866831897,15.421292766741129,19.270818102095873
25,267.4212457764214,15.362255370185471,18.99288851463364
26,267.6003139994021,15.36802784663048,19.67294934783524
27,264.2946407076111,15.267095504079217,19.204767239452327
28,263.9561074948523,15.269645352297173,18.61706632113731
29,260.4930657388572,15.168905051378317,19.086250712620664
30,258.7521425205921,15.116641500423576,19.235413823744953
31,257.73293529644207,15.081075918876902,19.167711932428258
32,254.1496271245166,14.9731305600283,19.24416423705426
33,253.75577371075164,14.970632729151797,19.092354258365347
34,252.3646640265425,14.92928241695828,18.8998716637903
35,250.04919028280236,14.845901106222595,19.018667233795945
36,248.89393972669598,14.81895188549199,19.69815227402442
37,247.39868827189318,14.781157700458042,19.14209450092812
38,245.39326511590494,14.719652131321334,19.543168689974696
39,242.98406110808526,14.64326530524268,19.286376883530416
40,242.7417806663551,14.63432745093907,18.927791203111905
41,241.4749873974767,14.60584536515798,19.34850490848254
42,240.9919875700699,14.595229937104959,19.051107263634762
43,240.15398624803456,14.55860281122439,19.012201151080852
