epoch,train_loss,train_rmse,val_rmse
1,4346.645126496268,65.7262856773089,24.01998560388117
2,588.0698705093721,22.797029712127497,21.561675641957397
3,458.34284162037403,20.152218584429615,20.67590093799875
4,426.2007439071113,19.443668918321503,20.49783764536293
5,404.13205543010326,18.93848306479117,20.052421429923704
6,391.1595826370047,18.62866925051844,19.896425154512126
7,380.9526100060271,18.395835351148033,20.127649558382906
8,370.52899101857514,18.138298370208286,19.856844671715223
9,362.8167071487827,17.94622185220697,19.304687211332023
10,357.45739905678744,17.803947150933595,19.28844164556086
11,351.57483845993164,17.66620551932563,20.163633856101512
12,342.2373307472879,17.42853498027376,19.90448768134267
13,335.02379919032285,17.24798676517355,20.25742937723253
14,329.61689337994454,17.10242436024465,19.110505117048135
15,322.15042781403747,16.912632263364056,19.402806009275103
16,317.35637061783393,16.784777367298872,19.508141297074925
17,309.9825391286824,16.580878056023273,19.145680757060443
18,303.10526387587055,16.402802189569538,19.111451864284934
19,298.78012200678575,16.285797933170716,19.09654991811786
20,293.2230897574111,16.141164227188415,19.844664227154894
21,285.084291351565,15.913825855409092,19.375358669840075
22,280.9095476254231,15.782773172278288,19.065279574432058
23,275.34624658090314,15.630723789023307,19.759136650850223
24,270.2528565371075,15.495662161305376,19.66657386395159
25,262.78598837504876,15.283742237498085,19.857113541100425
26,259.2459869554858,15.177273796392345,20.43355263857722
27,256.48198956893435,15.109641982619484,19.608782163157212
28,250.92504039730764,14.94557701883112,19.741462762736212
29,248.402384863506,14.868067219204583,19.504514238123953
30,244.2831066531686,14.74004107886862,19.50376238911823
31,240.59090167176686,14.631816622540299,19.830193339886268
32,235.97859556042962,14.494367491505033,19.940542419300172
33,234.8322576003411,14.45441512715533,19.821422477349344
34,230.2482863899372,14.313035535549336,19.954102751580596
35,229.62447207187867,14.293877232171464,19.642155135136623
36,226.42101315639545,14.199164607182048,19.88166291900208
37,224.13936227186628,14.129658667545957,19.885751550974945
